Ticker,Company Name,Market Cap,Website
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,37496143872,https://www.bbva.com
BBW,Build,306309536,https://www.buildabear.com
BBX,BBX Capital Corporation Common Stock,,
BBY,"Best Buy Co., Inc. Common Stock",19819819008,https://investors.bestbuy.com/investor-relations/overview/default.aspx
BC,Brunswick Corporation Common Stock,5675756032,https://www.brunswick.com
BCA,Corpbanca Sponsored Reg S GDR representing Common (Chile),,
BCC,"Boise Cascade, L.L.C. Common Stock",2854629632,https://www.bc.com
BCE,"BCE, Inc. Common Stock",43313405952,https://www.bce.ca
BCEI,"Bonanza Creek Energy, Inc. Common Stock",,
BCH,Banco De Chile Banco De Chile ADS,9278411776,https://portales.bancochile.cl
BCO,Brinks Company (The) Common Stock,2979715328,https://www.brinks.com
BCR,"C.R. Bard, Inc. Common Stock",,
BCRH,Blue Capital Reinsurance Holdings Ltd. Common Shares,,
BCS,Barclays PLC Common Stock,32248446976,https://www.home.barclays
BCX,BlackRock Resources Common Shares of Beneficial Interest,868146304,https://www.blackrock.com/investing/products/256576/blackrock-resources-and-commodities-strategy-trust-aggregate-fund
BDC,Belden Inc Common Stock,3535756800,https://www.belden.com
BDJ,Blackrock Enhanced Equity Dividend Trust,1726107904,https://www.blackrock.com/investing/products/240225/blackrock-enhanced-equity-dividend-trust-usd-fund
BDN,Brandywine Realty Trust Common Stock,1112318976,https://www.brandywinerealty.com
BDX,"Becton, Dickinson and Company Common Stock",67652108288,https://www.bd.com
BEE,Strategic Hotels & Resorts  Inc Common Stock,,
BEL,Belmond Ltd. Class A Common Stock,,
BEN,"Franklin Resources, Inc. Common Stock",13322656768,https://www.franklinresources.com
BEP,Brookfield Renewable Energy Partners LP Partnership Units (Bermuda),8005540864,https://www.bep.brookfield.com
BERY,"Berry Plastics Group, Inc. Common Stock",7715640320,https://www.berryglobal.com
BF.A,Brown Forman Inc Class A Common Stock,,
BF.B,Brown Forman Inc Class B Common Stock,,
BFAM,Bright Horizons Family Solutions Inc. Common Stock,4376163328,https://www.brighthorizons.com
BFK,BlackRock Municipal Income Trust,452985120,https://www.blackrock.com/investing/products/240218/blackrock-municipal-income-trust-usd-fund
BFO,Blackrock Florida Municipal 2020 Term Trust,,
BFR,BBVA Banco Frances S.A. Common Stock,,
BFS,"Saul Centers, Inc. Common Stock",1008435008,https://www.saulcenters.com
BFZ,BlackRock California Municipal Income Trust,342251360,https://www.blackrock.com/investing/products/240213/blackrock-california-municipal-income-trust-usd-fund
BG,Bunge Limited Bunge Limited,14217814016,https://www.bunge.com
BGB,Blackstone / GSO Strategic Credit Fund Common Shares,482375520,https://www.blackstone-gso.com/bgb-index.php
BGC,General Cable Corporation Common Stock,,
BGCA,"BGC Partners, Inc. 8.125% Senior Notes due 2042",,
BGG,Briggs & Stratton Corporation Common Stock,,
BGH,Babson Capital Global Short Duration High Yield Fund Common Shares of Beneficial Interests,263243616,https://www.babsoncapital.com/Strategies/Trusts/BGH/Default.aspx
BGR,BlackRock Energy and Resources Trust,374044224,https://www.blackrock.com/investing/products/240226/blackrock-energy-and-resources-trust-fund
BGS,"B&G Foods, Inc. B&G Foods, Inc. Common Stock",868969536,https://www.bgfoods.com
BGT,BlackRock Floating Rate Income Trust,251554496,https://www.blackrock.com/investing/products/240195/blackrock-floating-rate-income-trust-usd-fund
BGX,Blackstone GSO Long Short Credit Income Fund Common Shares,141691968,https://www.blackstone-gso.com/bgx-index.php
BGY,"BLACKROCK INTERNATIONAL, LTD. Blackrock International Real Estate Fund, Inc.",530571424,https://www.blackrock.com/investing/products/240228/blackrock-international-growth-and-income-trust-usd-fund
